time,Latitude,,Longitude,
233413,4202.1194,N,7141.7876,W
233414,4202.1194,N,7141.7876,W
233415,4202.1194,N,7141.7876,W
233416,4202.1194,N,7141.7876,W
233417,4202.1194,N,7141.7876,W
233418,4202.1194,N,7141.7876,W
233419,4202.1194,N,7141.7876,W
233420,4202.1194,N,7141.7876,W
233421,4202.1194,N,7141.7876,W
233422,4202.1194,N,7141.7876,W
233423,4202.1194,N,7141.7876,W
233424,4202.1194,N,7141.7876,W
233425,4202.1194,N,7141.7876,W
233426,4202.1194,N,7141.7876,W
233427,4202.1194,N,7141.7876,W
233428,4202.1194,N,7141.7876,W
233429,4202.1194,N,7141.7877,W
233430,4202.1194,N,7141.7877,W
233431,4202.1194,N,7141.7877,W
233432,4202.1194,N,7141.7877,W
233433,4202.1194,N,7141.7877,W
233434,4202.1194,N,7141.7877,W
233435,4202.1194,N,7141.7877,W
233436,4202.1194,N,7141.7877,W
233437,4202.1194,N,7141.7877,W
233438,4202.1194,N,7141.7877,W
233439,4202.1194,N,7141.7877,W
233440,4202.1194,N,7141.7877,W
233441,4202.1194,N,7141.7877,W
233442,4202.1194,N,7141.7877,W
233443,4202.1194,N,7141.7877,W
233444,4202.1194,N,7141.7877,W
233445,4202.1194,N,7141.7877,W
233446,4202.1194,N,7141.7876,W
233447,4202.1194,N,7141.7876,W
233448,4202.1194,N,7141.7876,W
233449,4202.1194,N,7141.7876,W
233450,4202.1194,N,7141.7876,W
233451,4202.1194,N,7141.7876,W
233452,4202.1194,N,7141.7876,W
233453,4202.1194,N,7141.7876,W
233454,4202.1194,N,7141.7876,W
233455,4202.1194,N,7141.7876,W
233456,4202.1194,N,7141.7876,W
233457,4202.1194,N,7141.7876,W
233458,4202.1194,N,7141.7876,W
233459,4202.1194,N,7141.7877,W
233500,4202.1194,N,7141.7877,W
233501,4202.1194,N,7141.7877,W
233502,4202.1194,N,7141.7877,W
233503,4202.1194,N,7141.7877,W
233504,4202.1194,N,7141.7877,W
233505,4202.1194,N,7141.7877,W
233506,4202.1194,N,7141.7877,W
233507,4202.1194,N,7141.7877,W
233508,4202.1194,N,7141.7877,W
233509,4202.1194,N,7141.7877,W
233510,4202.1194,N,7141.7877,W
233511,4202.1194,N,7141.7877,W
233512,4202.1194,N,7141.7877,W
233513,4202.1194,N,7141.7877,W
233514,4202.1194,N,7141.7877,W
233515,4202.1194,N,7141.7877,W
233516,4202.1194,N,7141.7877,W
233517,4202.1194,N,7141.7877,W
233518,4202.1194,N,7141.7877,W
233519,4202.1194,N,7141.7877,W
233520,4202.1194,N,7141.7877,W
233521,4202.1194,N,7141.7877,W
233522,4202.1194,N,7141.7877,W
233523,4202.1194,N,7141.7877,W
233524,4202.1194,N,7141.7877,W
233525,4202.1194,N,7141.7877,W
233526,4202.1194,N,7141.7877,W
233527,4202.1194,N,7141.7877,W
233528,4202.1194,N,7141.7877,W
233529,4202.1194,N,7141.7877,W
233530,4202.1194,N,7141.7877,W
233531,4202.1194,N,7141.7877,W
233532,4202.1194,N,7141.7877,W
233533,4202.1194,N,7141.7876,W
233534,4202.1194,N,7141.7876,W
233535,4202.1194,N,7141.7876,W
233536,4202.1194,N,7141.7876,W
233537,4202.1194,N,7141.7876,W
233538,4202.1194,N,7141.7876,W
233539,4202.1194,N,7141.7876,W
233540,4202.1194,N,7141.7876,W
233541,4202.1194,N,7141.7876,W
233542,4202.1194,N,7141.7876,W
233543,4202.1194,N,7141.7876,W
233544,4202.1194,N,7141.7876,W
233545,4202.1194,N,7141.7876,W
233546,4202.1194,N,7141.7876,W
233547,4202.1194,N,7141.7876,W
233548,4202.1194,N,7141.7876,W
233549,4202.1194,N,7141.7877,W
233550,4202.1194,N,7141.7877,W
233551,4202.1194,N,7141.7877,W
233552,4202.1194,N,7141.7877,W
233553,4202.1194,N,7141.7877,W
233554,4202.1194,N,7141.7877,W
233555,4202.1194,N,7141.7877,W
233556,4202.1194,N,7141.7877,W
233557,4202.1194,N,7141.7877,W
233558,4202.1194,N,7141.7877,W
233559,4202.1194,N,7141.7877,W
233600,4202.1194,N,7141.7877,W
233601,4202.1194,N,7141.7877,W
233602,4202.1194,N,7141.7877,W
233603,4202.1194,N,7141.7877,W
233604,4202.1194,N,7141.7877,W
233605,4202.1194,N,7141.7877,W
233606,4202.1194,N,7141.7877,W
233607,4202.1194,N,7141.7877,W
233608,4202.1194,N,7141.7877,W
233609,4202.1194,N,7141.7877,W
233610,4202.1194,N,7141.7877,W
233611,4202.1194,N,7141.7877,W
233612,4202.1194,N,7141.7877,W
233613,4202.1194,N,7141.7877,W
233614,4202.1194,N,7141.7877,W
233615,4202.1194,N,7141.7877,W
233616,4202.1194,N,7141.7877,W
233617,4202.1194,N,7141.7877,W
233618,4202.1194,N,7141.7877,W
233619,4202.1194,N,7141.7877,W
233620,4202.1194,N,7141.7877,W
233621,4202.1194,N,7141.7877,W
233622,4202.1194,N,7141.7877,W
233623,4202.1194,N,7141.7877,W
233624,4202.1194,N,7141.7877,W
233625,4202.1194,N,7141.7877,W
233626,4202.1194,N,7141.7877,W
233627,4202.1194,N,7141.7877,W
233628,4202.1194,N,7141.7877,W
233629,4202.1194,N,7141.7877,W
233630,4202.1194,N,7141.7877,W
233631,4202.1194,N,7141.7877,W
233632,4202.1194,N,7141.7877,W
233633,4202.1194,N,7141.7877,W
233634,4202.1194,N,7141.7877,W
233635,4202.1194,N,7141.7877,W
233636,4202.1194,N,7141.7877,W
233637,4202.1194,N,7141.7877,W
233638,4202.1194,N,7141.7877,W
233639,4202.1194,N,7141.7877,W
233640,4202.1194,N,7141.7877,W
233641,4202.1194,N,7141.7877,W
233642,4202.1194,N,7141.7877,W
233643,4202.1194,N,7141.7877,W
233644,4202.1194,N,7141.7877,W
233645,4202.1194,N,7141.7877,W
233646,4202.1194,N,7141.7877,W
233647,4202.1194,N,7141.7877,W
233648,4202.1194,N,7141.7877,W
233649,4202.1194,N,7141.7877,W
233650,4202.1194,N,7141.7877,W
233651,4202.1194,N,7141.7877,W
233652,4202.1194,N,7141.7877,W
233653,4202.1194,N,7141.7877,W
233654,4202.1194,N,7141.7877,W
233655,4202.1194,N,7141.7877,W
233656,4202.1194,N,7141.7877,W
233657,4202.1194,N,7141.7877,W
233658,4202.1194,N,7141.7877,W
233659,4202.1194,N,7141.7877,W
233700,4202.1194,N,7141.7877,W
233701,4202.1194,N,7141.7877,W
233702,4202.1194,N,7141.7877,W
233703,4202.1194,N,7141.7877,W
233704,4202.1194,N,7141.7877,W
233705,4202.1194,N,7141.7877,W
233706,4202.1194,N,7141.7877,W
233707,4202.1194,N,7141.7877,W
233708,4202.1194,N,7141.7877,W
233709,4202.1194,N,7141.7877,W
233710,4202.1194,N,7141.7877,W
233711,4202.1194,N,7141.7877,W
233712,4202.1194,N,7141.7877,W
233713,4202.1194,N,7141.7877,W
233714,4202.1194,N,7141.7877,W
233715,4202.1194,N,7141.7877,W
233716,4202.1194,N,7141.7877,W
233717,4202.1194,N,7141.7877,W
233718,4202.1194,N,7141.7877,W
233719,4202.1194,N,7141.7877,W
233720,4202.1194,N,7141.7877,W
233721,4202.1194,N,7141.7877,W
233722,4202.1194,N,7141.7877,W
233723,4202.1194,N,7141.7877,W
233724,4202.1194,N,7141.7877,W
233725,4202.1194,N,7141.7877,W
233726,4202.1194,N,7141.7877,W
233727,4202.1194,N,7141.7877,W
233728,4202.1194,N,7141.7877,W
233729,4202.1194,N,7141.7877,W
233730,4202.1194,N,7141.7877,W
233731,4202.1194,N,7141.7877,W
233732,4202.1194,N,7141.7877,W
233733,4202.1194,N,7141.7877,W
233734,4202.1194,N,7141.7877,W
233735,4202.1194,N,7141.7877,W
233736,4202.1194,N,7141.7877,W
233737,4202.1194,N,7141.7877,W
233738,4202.1194,N,7141.7877,W
233739,4202.1194,N,7141.7877,W
233740,4202.1194,N,7141.7877,W
233741,4202.1194,N,7141.7877,W
233742,4202.1194,N,7141.7877,W
233743,4202.1194,N,7141.7877,W
233744,4202.1194,N,7141.7877,W
233745,4202.1194,N,7141.7877,W
233746,4202.1194,N,7141.7877,W
233747,4202.1194,N,7141.7877,W
233748,4202.1194,N,7141.7877,W
233749,4202.1194,N,7141.7877,W
233750,4202.1194,N,7141.7877,W
233751,4202.1194,N,7141.7877,W
233752,4202.1194,N,7141.7877,W
233753,4202.1194,N,7141.7877,W
233754,4202.1194,N,7141.7877,W
233755,4202.1194,N,7141.7877,W
233756,4202.1194,N,7141.7877,W
233757,4202.1194,N,7141.7877,W
233758,4202.1194,N,7141.7877,W
233759,4202.1194,N,7141.7877,W
233800,4202.1194,N,7141.7877,W
233801,4202.1194,N,7141.7877,W
233802,4202.1194,N,7141.7877,W
233803,4202.1194,N,7141.7877,W
233804,4202.1194,N,7141.7877,W
233805,4202.1194,N,7141.7877,W
233806,4202.1194,N,7141.7877,W
233807,4202.1194,N,7141.7877,W
233808,4202.1194,N,7141.7877,W
233809,4202.1194,N,7141.7877,W
233810,4202.1194,N,7141.7877,W
233811,4202.1194,N,7141.7877,W
233812,4202.1194,N,7141.7877,W
233813,4202.1194,N,7141.7877,W
233814,4202.1193,N,7141.7877,W
233815,4202.1193,N,7141.7877,W
233816,4202.1193,N,7141.7877,W
233817,4202.1193,N,7141.7877,W
233818,4202.1193,N,7141.7877,W
233819,4202.1193,N,7141.7877,W
233820,4202.1193,N,7141.7877,W
233821,4202.1193,N,7141.7877,W
233822,4202.1193,N,7141.7877,W
233823,4202.1193,N,7141.7877,W
233824,4202.1193,N,7141.7877,W
233825,4202.1193,N,7141.7877,W
233826,4202.1193,N,7141.7877,W
233827,4202.1193,N,7141.7877,W
233828,4202.1193,N,7141.7877,W
233829,4202.1193,N,7141.7877,W
233830,4202.1193,N,7141.7877,W
233831,4202.1193,N,7141.7877,W
233832,4202.1193,N,7141.7877,W
233833,4202.1193,N,7141.7877,W
233834,4202.1193,N,7141.7877,W
233835,4202.1193,N,7141.7877,W
233836,4202.1193,N,7141.7877,W
233837,4202.1193,N,7141.7877,W
233838,4202.1193,N,7141.7877,W
233839,4202.1193,N,7141.7877,W
233840,4202.1193,N,7141.7877,W
233841,4202.1193,N,7141.7877,W
233842,4202.1193,N,7141.7877,W
233843,4202.1193,N,7141.7877,W
233844,4202.1193,N,7141.7877,W
233845,4202.1193,N,7141.7877,W
233846,4202.1193,N,7141.7877,W
233847,4202.1193,N,7141.7877,W
233848,4202.1193,N,7141.7877,W
233849,4202.1193,N,7141.7877,W
233850,4202.1193,N,7141.7877,W
233851,4202.1193,N,7141.7877,W
233852,4202.1193,N,7141.7877,W
233853,4202.1193,N,7141.7877,W
233854,4202.1193,N,7141.7877,W
233855,4202.1193,N,7141.7877,W
233856,4202.1193,N,7141.7877,W
233857,4202.1193,N,7141.7877,W
233858,4202.1193,N,7141.7877,W
233859,4202.1193,N,7141.7877,W
233900,4202.1193,N,7141.7877,W
233901,4202.1193,N,7141.7877,W
233902,4202.1193,N,7141.7877,W
233903,4202.1193,N,7141.7877,W
233904,4202.1193,N,7141.7877,W
233905,4202.1193,N,7141.7877,W
233906,4202.1193,N,7141.7877,W
233907,4202.1193,N,7141.7877,W
233908,4202.1193,N,7141.7877,W
233909,4202.1193,N,7141.7877,W
233910,4202.1193,N,7141.7877,W
233911,4202.1193,N,7141.7877,W
233912,4202.1193,N,7141.7877,W
233913,4202.1193,N,7141.7877,W
233914,4202.1193,N,7141.7877,W
233915,4202.1193,N,7141.7877,W
233916,4202.1193,N,7141.7877,W
233917,4202.1193,N,7141.7877,W
233918,4202.1193,N,7141.7877,W
233919,4202.1193,N,7141.7877,W
233920,4202.1193,N,7141.7877,W
233921,4202.1193,N,7141.7877,W
233922,4202.1193,N,7141.7877,W
233923,4202.1193,N,7141.7877,W
233924,4202.1193,N,7141.7877,W
233925,4202.1193,N,7141.7877,W
233926,4202.1193,N,7141.7877,W
233927,4202.1193,N,7141.7877,W
233928,4202.1193,N,7141.7877,W
233929,4202.1193,N,7141.7877,W
233930,4202.1193,N,7141.7877,W
233931,4202.1193,N,7141.7877,W
233932,4202.1193,N,7141.7877,W
233933,4202.1193,N,7141.7877,W
233934,4202.1193,N,7141.7877,W
233935,4202.1193,N,7141.7877,W
233936,4202.1193,N,7141.7877,W
233937,4202.1193,N,7141.7877,W
233938,4202.1193,N,7141.7877,W
233939,4202.1193,N,7141.7877,W
233940,4202.1193,N,7141.7877,W
233941,4202.1193,N,7141.7877,W
233942,4202.1193,N,7141.7877,W
233943,4202.1193,N,7141.7877,W
233944,4202.1193,N,7141.7877,W
233945,4202.1193,N,7141.7877,W
233946,4202.1193,N,7141.7877,W
233947,4202.1193,N,7141.7877,W
233948,4202.1193,N,7141.7877,W
233949,4202.1193,N,7141.7877,W
233950,4202.1193,N,7141.7877,W
233951,4202.1193,N,7141.7877,W
233952,4202.1193,N,7141.7877,W
233953,4202.1193,N,7141.7877,W
233954,4202.1193,N,7141.7877,W
233955,4202.1193,N,7141.7877,W
233956,4202.1193,N,7141.7877,W
233957,4202.1193,N,7141.7877,W
233958,4202.1193,N,7141.7877,W
233959,4202.1193,N,7141.7877,W
234000,4202.1193,N,7141.7877,W
234001,4202.1193,N,7141.7877,W
234002,4202.1193,N,7141.7877,W
234003,4202.1193,N,7141.7877,W
234004,4202.1193,N,7141.7877,W
234005,4202.1193,N,7141.7877,W
234006,4202.1193,N,7141.7877,W
234007,4202.1193,N,7141.7877,W
234008,4202.1193,N,7141.7877,W
234009,4202.1193,N,7141.7877,W
234010,4202.1193,N,7141.7877,W
234011,4202.1193,N,7141.7877,W
234012,4202.1193,N,7141.7877,W
234013,4202.1193,N,7141.7877,W
234014,4202.1193,N,7141.7877,W
234015,4202.1193,N,7141.7877,W
234016,4202.1193,N,7141.7877,W
234017,4202.1193,N,7141.7877,W
234018,4202.1193,N,7141.7877,W
234019,4202.1193,N,7141.7877,W
234020,4202.1193,N,7141.7877,W
234021,4202.1193,N,7141.7877,W
234022,4202.1193,N,7141.7877,W
234023,4202.1193,N,7141.7877,W
234024,4202.1193,N,7141.7877,W
234025,4202.1193,N,7141.7877,W
234026,4202.1193,N,7141.7877,W
234027,4202.1193,N,7141.7877,W
234028,4202.1193,N,7141.7877,W
234029,4202.1193,N,7141.7877,W
234030,4202.1193,N,7141.7877,W
234031,4202.1193,N,7141.7877,W
234032,4202.1193,N,7141.7877,W
234033,4202.1193,N,7141.7877,W
234034,4202.1193,N,7141.7877,W
234035,4202.1193,N,7141.7877,W
234036,4202.1193,N,7141.7877,W
234037,4202.1193,N,7141.7877,W
234038,4202.1193,N,7141.7877,W
234039,4202.1193,N,7141.7877,W
234040,4202.1193,N,7141.7877,W
234041,4202.1193,N,7141.7877,W
234042,4202.1193,N,7141.7877,W
234043,4202.1193,N,7141.7877,W
234044,4202.1193,N,7141.7877,W
234045,4202.1193,N,7141.7877,W
234046,4202.1193,N,7141.7877,W
234047,4202.1193,N,7141.7877,W
234048,4202.1193,N,7141.7877,W
234049,4202.1193,N,7141.7877,W
234050,4202.1193,N,7141.7877,W
234051,4202.1193,N,7141.7877,W
234052,4202.1193,N,7141.7877,W
234053,4202.1193,N,7141.7877,W
234054,4202.1193,N,7141.7877,W
234055,4202.1193,N,7141.7877,W
234056,4202.1193,N,7141.7877,W
234057,4202.1193,N,7141.7877,W
234058,4202.1193,N,7141.7877,W
234059,4202.1193,N,7141.7877,W
234100,4202.1193,N,7141.7877,W
234101,4202.1193,N,7141.7877,W
234102,4202.1193,N,7141.7877,W
234103,4202.1193,N,7141.7877,W
234104,4202.1193,N,7141.7877,W
234105,4202.1193,N,7141.7877,W
234106,4202.1193,N,7141.7877,W
234107,4202.1193,N,7141.7877,W
234108,4202.1193,N,7141.7877,W
234109,4202.1193,N,7141.7877,W
234110,4202.1193,N,7141.7877,W
234111,4202.1193,N,7141.7877,W
234112,4202.1193,N,7141.7877,W
234113,4202.1193,N,7141.7877,W
234114,4202.1193,N,7141.7877,W
234115,4202.1193,N,7141.7877,W
234116,4202.1193,N,7141.7877,W
234117,4202.1193,N,7141.7877,W
234118,4202.1193,N,7141.7877,W
234119,4202.1193,N,7141.7877,W
234120,4202.1193,N,7141.7877,W
234121,4202.1193,N,7141.7877,W
234122,4202.1193,N,7141.7877,W
234123,4202.1193,N,7141.7877,W
234124,4202.1193,N,7141.7877,W
234125,4202.1193,N,7141.7877,W
234126,4202.1193,N,7141.7877,W
234127,4202.1193,N,7141.7877,W
234128,4202.1193,N,7141.7877,W
234129,4202.1193,N,7141.7877,W
234130,4202.1193,N,7141.7877,W
234131,4202.1193,N,7141.7877,W
234132,4202.1193,N,7141.7877,W
234133,4202.1193,N,7141.7877,W
234134,4202.1193,N,7141.7877,W
234135,4202.1193,N,7141.7877,W
234136,4202.1193,N,7141.7877,W
234137,4202.1193,N,7141.7877,W
234138,4202.1193,N,7141.7877,W
234139,4202.1193,N,7141.7877,W
234140,4202.1193,N,7141.7877,W
234141,4202.1193,N,7141.7877,W
234142,4202.1193,N,7141.7877,W
234143,4202.1193,N,7141.7877,W
234144,4202.1193,N,7141.7877,W
234145,4202.1193,N,7141.7877,W
234146,4202.1193,N,7141.7877,W
234147,4202.1193,N,7141.7877,W
234148,4202.1193,N,7141.7877,W
234149,4202.1193,N,7141.7877,W
234150,4202.1193,N,7141.7877,W
234151,4202.1193,N,7141.7877,W
234152,4202.1193,N,7141.7877,W
234153,4202.1193,N,7141.7877,W
234154,4202.1193,N,7141.7877,W
234155,4202.1193,N,7141.7877,W
234156,4202.1193,N,7141.7877,W
234157,4202.1193,N,7141.7877,W
234158,4202.1193,N,7141.7877,W
234159,4202.1193,N,7141.7877,W
234200,4202.1193,N,7141.7877,W
234201,4202.1193,N,7141.7877,W
234202,4202.1193,N,7141.7877,W
234203,4202.1193,N,7141.7877,W
234204,4202.1193,N,7141.7877,W
234205,4202.1193,N,7141.7877,W
234206,4202.1193,N,7141.7877,W
234207,4202.1193,N,7141.7877,W
234208,4202.1193,N,7141.7877,W
234209,4202.1193,N,7141.7877,W
234210,4202.1193,N,7141.7877,W
234211,4202.1193,N,7141.7877,W
234212,4202.1193,N,7141.7877,W
234213,4202.1193,N,7141.7877,W
234214,4202.1193,N,7141.7877,W
234215,4202.1193,N,7141.7877,W
234216,4202.1193,N,7141.7877,W
234217,4202.1193,N,7141.7877,W
234218,4202.1193,N,7141.7877,W
234219,4202.1193,N,7141.7877,W
234220,4202.1193,N,7141.7877,W
234221,4202.1193,N,7141.7877,W
234222,4202.1193,N,7141.7877,W
234223,4202.1193,N,7141.7877,W
234224,4202.1193,N,7141.7877,W
234225,4202.1193,N,7141.7877,W
234226,4202.1193,N,7141.7877,W
234227,4202.1193,N,7141.7877,W
234228,4202.1193,N,7141.7877,W
234229,4202.1193,N,7141.7877,W
234230,4202.1193,N,7141.7877,W
234231,4202.1193,N,7141.7877,W
234232,4202.1193,N,7141.7877,W
234233,4202.1193,N,7141.7877,W
234234,4202.1193,N,7141.7877,W
234235,4202.1193,N,7141.7877,W
234236,4202.1193,N,7141.7877,W
234237,4202.1193,N,7141.7877,W
234238,4202.1193,N,7141.7877,W
234239,4202.1193,N,7141.7877,W
234240,4202.1193,N,7141.7877,W
234241,4202.1193,N,7141.7877,W
234242,4202.1193,N,7141.7877,W
234243,4202.1193,N,7141.7877,W
234244,4202.1193,N,7141.7877,W
234245,4202.1193,N,7141.7877,W
234246,4202.1193,N,7141.7877,W
234247,4202.1193,N,7141.7877,W
234248,4202.1193,N,7141.7877,W
234249,4202.1193,N,7141.7877,W
234250,4202.1193,N,7141.7877,W
234251,4202.1193,N,7141.7877,W
234252,4202.1193,N,7141.7877,W
234253,4202.1193,N,7141.7877,W
234254,4202.1193,N,7141.7877,W
234255,4202.1193,N,7141.7877,W
234256,4202.1193,N,7141.7877,W
234257,4202.1193,N,7141.7877,W
234258,4202.1193,N,7141.7877,W
234259,4202.1193,N,7141.7877,W
234300,4202.1193,N,7141.7877,W
234301,4202.1193,N,7141.7877,W
234302,4202.1193,N,7141.7877,W
234303,4202.1193,N,7141.7877,W
234304,4202.1193,N,7141.7877,W
234305,4202.1193,N,7141.7877,W
234306,4202.1193,N,7141.7877,W
234307,4202.1193,N,7141.7877,W
234308,4202.1193,N,7141.7877,W
234309,4202.1193,N,7141.7877,W
234310,4202.1193,N,7141.7877,W
234311,4202.1193,N,7141.7877,W
234312,4202.1193,N,7141.7877,W
234313,4202.1193,N,7141.7877,W
234314,4202.1193,N,7141.7877,W
234315,4202.1193,N,7141.7877,W
234316,4202.1193,N,7141.7877,W
234317,4202.1193,N,7141.7877,W
