time,Latitude,,Longitude,
234318,4202.1193,N,7141.7877,W
234319,4202.1193,N,7141.7877,W
234320,4202.1193,N,7141.7877,W
234321,4202.1193,N,7141.7877,W
234322,4202.1193,N,7141.7877,W
234323,4202.1193,N,7141.7877,W
234324,4202.1193,N,7141.7877,W
234325,4202.1193,N,7141.7877,W
234326,4202.1193,N,7141.7877,W
234327,4202.1193,N,7141.7877,W
234328,4202.1193,N,7141.7877,W
234329,4202.1193,N,7141.7877,W
234330,4202.1193,N,7141.7877,W
234331,4202.1193,N,7141.7877,W
234332,4202.1193,N,7141.7877,W
234333,4202.1193,N,7141.7877,W
234334,4202.1193,N,7141.7877,W
234335,4202.1193,N,7141.7877,W
234336,4202.1193,N,7141.7877,W
234337,4202.1193,N,7141.7877,W
